Result,Count
None,3656
PDF.Spam.Heur.1,38
PDF.Spam.Heur.2,2
Application.Generic.3032003,1
Application.Generic.3033760,1
Application.Generic.3034959,1
Application.Generic.3039612,1
Application.Generic.3042033,1
Application.Generic.3042093,1
Application.Generic.3042271,1
Application.Generic.3046684,1
Trojan.Generic.30404509,1
Trojan.Generic.30423631,1
Trojan.Generic.30425627,1
Trojan.Generic.30440657,1
Trojan.Generic.30451100,1
Trojan.Generic.30477625,1
Trojan.Generic.30594123,1
Trojan.Generic.30614316,1
Trojan.Generic.30635035,1
Trojan.Generic.30653131,1
Trojan.Generic.30659524,1
Trojan.Generic.30665671,1
Trojan.Generic.30676767,1
Trojan.Generic.30687033,1
Trojan.Generic.30690526,1
Trojan.Generic.30692259,1
Trojan.Generic.30695362,1
Trojan.Generic.30700001,1
Trojan.Generic.30705333,1
Trojan.GenericKD.47024562,1
Trojan.GenericKD.47279996,1
